gav,compatibilities
org.springdoc:springdoc-openapi-starter-webmvc-api:2.5.0,1
org.springdoc:springdoc-openapi-starter-common:2.5.0,1
org.slf4j:slf4j-nop:2.0.7,15
io.github.eo-cqrs:xfake:0.1.2,1
com.jcabi.incubator:xembly:0.28.1,1
com.jcabi:jcabi-immutable:1.5,1
io.github.eo-cqrs:eokson:0.3.2,1
com.fasterxml.jackson.dataformat:jackson-dataformat-xml:2.15.2,6
ru.l3r8y:sa-tan:0.1.5,2
com.jcabi:jcabi-aspects:0.25.1,2
com.github.librepdf:openpdf:1.3.32,1
com.fasterxml.jackson.dataformat:jackson-dataformat-xml:2.15.3,6
org.codehaus.plexus:plexus-utils:3.4.2,1
org.springdoc:springdoc-openapi-starter-webflux-ui:2.0.4,12
org.springdoc:springdoc-openapi-starter-webflux-api:2.0.4,4
jakarta.validation:jakarta.validation-api:3.1.0-M2,6
org.codehaus.plexus:plexus-io:3.3.1,3
com.google.http-client:google-http-client:1.44.1,1
com.google.http-client:google-http-client-jackson2:1.44.1,20
com.google.http-client:google-http-client-gson:1.44.1,5
com.google.http-client:google-http-client-apache-v2:1.44.1,20
com.google.cloud:google-cloud-core-http:2.9.4,10
com.google.http-client:google-http-client-appengine:1.44.1,20
org.xmlunit:xmlunit-core:2.8.4,2
com.fasterxml.jackson.dataformat:jackson-dataformat-xml:2.16.2,2
org.springdoc:springdoc-openapi-ui:1.8.0,1
org.springdoc:springdoc-openapi-webmvc-core:1.8.0,1
org.springdoc:springdoc-openapi-common:1.8.0,1
io.github.classgraph:classgraph:4.8.85,2
me.tongfei:progressbar:0.10.1,1
net.openhft:compiler:2.25ea3,1
org.devlive.sdk:openai-java-sdk:2024.01.2,1
ognl:ognl:3.3.4,4
ch.qos.logback:logback-classic:1.3.7,1
ch.qos.logback:logback-core:1.3.7,2
org.springframework.hateoas:spring-hateoas:1.5.6,1
org.iban4j:iban4j:3.2.6-RELEASE,1
com.fasterxml.jackson.dataformat:jackson-dataformat-xml:2.15.4,6
com.fasterxml.jackson.core:jackson-databind:2.14.3,1
