ga,version,repository,tag_name,tag_commit,err
com.fasterxml.jackson.core:jackson-databind,2.16.0,FasterXML/jackson-databind,jackson-databind-2.16.0,74621b01e69396160cc48b023aa0e85f38964c0f,
com.fasterxml.jackson.core:jackson-databind,2.16.1,FasterXML/jackson-databind,jackson-databind-2.16.1,28efa9ba66baf53fd33ba0c0971dbffd7221502c,
com.fasterxml.jackson.core:jackson-databind,2.16.2,FasterXML/jackson-databind,jackson-databind-2.16.2,a04a0a1852acf9ab5a80d10631026d9814436114,
com.fasterxml.jackson.core:jackson-databind,2.17.0,FasterXML/jackson-databind,jackson-databind-2.17.0,cd2d15eb466cda556bbce2f7256baad68a69e34a,
com.fasterxml.jackson.core:jackson-databind,2.17.1,FasterXML/jackson-databind,jackson-databind-2.17.1,cf9e8558de0fc67e69ad5a9610dbf077a8e287ff,
com.fasterxml:classmate,1.6.0,FasterXML/java-classmate,classmate-1.6.0,fa781caa022557f8279ae48011ae4894e78fa1ea,
com.fasterxml:classmate,1.7.0,FasterXML/java-classmate,classmate-1.7.0,3842f1e329e7eec5db11c118cfeb3cfce9ced1a8,
com.formdev:flatlaf,3.2,JFormDesigner/FlatLaf,3.2,75da3614801d95bf759574edc3cd5432c2a8ce01,
com.formdev:flatlaf,3.2.1,JFormDesigner/FlatLaf,3.2.1,b6207bafde36327498e4c9a08b98229a0606690b,
com.formdev:flatlaf,3.2.2,JFormDesigner/FlatLaf,3.2.2,0d2f37e1daf43fd103de0f888a4ed01358cdcbd1,
com.formdev:flatlaf,3.2.5,JFormDesigner/FlatLaf,3.2.5,cf364c12649004fc9bbad614c3dd55ab0c04da0e,
com.github.dasniko:testcontainers-keycloak,3.0.0,dasniko/testcontainers-keycloak,3.0.0,479dde8d23bf980cdbc8965a311fea2c75012eeb,
com.github.dasniko:testcontainers-keycloak,3.1.0,dasniko/testcontainers-keycloak,3.1.0,dc075d5d46d9f58f9674aef6330562fb5ed13c74,
com.github.dasniko:testcontainers-keycloak,3.2.0,dasniko/testcontainers-keycloak,v3.2.0,646bc6de37d69914d8b224ab33d8a1a7eb47bfe0,
com.github.dasniko:testcontainers-keycloak,3.3.0,dasniko/testcontainers-keycloak,v3.3.0,ba952f7c855fcfb238701323891beba282c94d24,
com.github.dasniko:testcontainers-keycloak,3.3.1,dasniko/testcontainers-keycloak,v.3.3.1,b58acc8a046fa3ca8269d8f3d27278cd3e8afc00,
com.github.eirslett:frontend-maven-plugin,1.12.1,eirslett/frontend-maven-plugin,frontend-plugins-1.12.1,939607bd3c229caf9f8b23cf3dae6f387e5344ce,
com.github.eirslett:frontend-maven-plugin,1.13.4,eirslett/frontend-maven-plugin,frontend-plugins-1.13.4,62db439e0cc93e7be95329c1e7f8304d609c0266,
com.github.eirslett:frontend-maven-plugin,1.14.0,eirslett/frontend-maven-plugin,frontend-plugins-1.14.0,60112bed44c856a01ee3a0df34bc05c4e294b8eb,
com.github.eirslett:frontend-maven-plugin,1.14.2,eirslett/frontend-maven-plugin,frontend-plugins-1.14.2,072ce91812090d18cabfea7fc797c4cd9ad68854,
com.github.eirslett:frontend-maven-plugin,1.15.0,eirslett/frontend-maven-plugin,frontend-plugins-1.15.0,e888c9eec6b52a9128c313e1eb3712ddf1ad931f,
com.github.ekryd.sortpom:sortpom-maven-plugin,3.3.0,Ekryd/sortpom,sortpom-parent-3.3.0,6d64c63822d64ed820e46bd6b5ca195407dcdf76,
com.github.ekryd.sortpom:sortpom-maven-plugin,3.4.0,Ekryd/sortpom,sortpom-parent-3.4.0,0f6dd0cab978f7819e149bb006cfd1fd6ff1835b,
com.github.ekryd.sortpom:sortpom-maven-plugin,3.4.1,Ekryd/sortpom,sortpom-parent-3.4.1,c2acda474296d420658920c8c0b7d8e9a3febd70,
com.github.erosb:everit-json-schema,1.14.2,erosb/everit-json-schema,,,NO_TAG
com.github.erosb:everit-json-schema,1.14.3,erosb/everit-json-schema,,,NO_TAG
com.github.erosb:everit-json-schema,1.14.4,erosb/everit-json-schema,,,NO_TAG
com.github.houbb:sensitive-word,0.13.0,houbb/sensitive-word,,,NO_TAG
com.github.houbb:sensitive-word,0.13.1,houbb/sensitive-word,,,NO_TAG
com.github.houbb:sensitive-word,0.13.2,houbb/sensitive-word,,,NO_TAG
com.github.houbb:sensitive-word,0.13.4,houbb/sensitive-word,,,NO_TAG
com.github.siom79.japicmp:japicmp-maven-plugin,0.18.3,,,,NO_GITHUB
com.github.siom79.japicmp:japicmp-maven-plugin,0.18.4,,,,NO_GITHUB
com.github.siom79.japicmp:japicmp-maven-plugin,0.18.5,,,,NO_GITHUB
com.github.siom79.japicmp:japicmp-maven-plugin,0.19.1,,,,NO_GITHUB
com.github.siom79.japicmp:japicmp-maven-plugin,0.20.0,,,,NO_GITHUB
com.github.siom79.japicmp:japicmp-maven-plugin,0.21.0,,,,NO_GITHUB
com.github.siom79.japicmp:japicmp-maven-plugin,0.21.1,,,,NO_GITHUB
com.github.siom79.japicmp:japicmp-maven-plugin,0.21.2,,,,NO_GITHUB
com.github.spotbugs:spotbugs-maven-plugin,4.7.3.5,spotbugs/spotbugs-maven-plugin,spotbugs-maven-plugin-4.7.3.5,ae262bae560adad3dea113b263b9b88049adf847,
com.github.spotbugs:spotbugs-maven-plugin,4.7.3.6,spotbugs/spotbugs-maven-plugin,spotbugs-maven-plugin-4.7.3.6,a8bbf0704a9e3326837d6d665a51f45ca834b157,
com.github.spotbugs:spotbugs-maven-plugin,4.8.3.0,spotbugs/spotbugs-maven-plugin,spotbugs-maven-plugin-4.8.3.0,4ed93fcea1be737f0a2a00ab669f241147f1037b,
com.github.spotbugs:spotbugs-maven-plugin,4.8.3.1,spotbugs/spotbugs-maven-plugin,spotbugs-maven-plugin-4.8.3.1,9eff0f488f0eb201da4706518238c2339ca0b62d,
com.github.spotbugs:spotbugs-maven-plugin,4.8.4.0,spotbugs/spotbugs-maven-plugin,spotbugs-maven-plugin-4.8.4.0,078e27099f279bca25b0fe182ac31aa0a196889f,
com.github.spotbugs:spotbugs-maven-plugin,4.8.5.0,spotbugs/spotbugs-maven-plugin,spotbugs-maven-plugin-4.8.5.0,ca8b5a3798a6bd929362945fdf0134d141f389ca,
com.github.spullara.mustache.java:compiler,0.9.11,spullara/mustache.java,mustache.java-0.9.11,fed54375b99ae412ba24a40823841d114565e6f2,
com.github.spullara.mustache.java:compiler,0.9.12,spullara/mustache.java,mustache.java-0.9.12,5187e6b07bf32ae6104d0632d6be8b98d6c497cc,
com.github.spullara.mustache.java:compiler,0.9.13,spullara/mustache.java,mustache.java-0.9.13,6020349d2b8b16220915877ed666ba6406463e5e,
com.github.tomakehurst:wiremock-jre8,2.35.1,wiremock/wiremock,2.35.1,87063432febaa9c10e90c92edb1d5a8f7afabae2,
com.github.tomakehurst:wiremock-jre8,2.35.2,wiremock/wiremock,2.35.2,e032c4aa043845582e918685a8652a02a2af1066,
com.github.wnameless.json:json-flattener,0.16.4,wnameless/json-flattener,json-flattener-0.16.4,66375b27aec21db59c0e78118257e0d980f24abb,
com.github.wnameless.json:json-flattener,0.16.6,wnameless/json-flattener,json-flattener-0.16.6,5cb34f52ca3a4fdbaf067ee53412d55c6f1ea1dd,
com.google.apis:google-api-services-admin-directory,directory_v1-rev20240102-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-admin-directory,directory_v1-rev20240220-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-admin-directory,directory_v1-rev20240227-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-admin-directory,directory_v1-rev20240304-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-admin-directory,directory_v1-rev20240429-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-admin-directory,directory_v1-rev20240507-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudasset,v1-rev20230609-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudasset,v1-rev20230805-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudasset,v1-rev20230902-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudasset,v1-rev20230908-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudasset,v1-rev20230922-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudasset,v1-rev20231013-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudasset,v1-rev20231103-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudasset,v1-rev20231111-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudasset,v1-rev20231201-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudasset,v1-rev20240119-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudasset,v1-rev20240126-2.0.0,,,,NO_GITHUB
com.google.apis:google-api-services-cloudasset,v1-rev20240217-2.0.0,,,,NO_GITHUB
