ga,version,groundtruth_repo,groundtruth_tag,repo,tag,commit,exact_match,has_tests,err
net.sourceforge.pmd:pmd,6.42.0,pmd/${artifactId},pmd_releases/6.42.0,pmd/pmd,pmd_releases/6.42.0,391c32589fce747ee786f92b0881d6d714737cef,True,True,
net.sourceforge.pmd:pmd,6.27.0,pmd/${artifactId},pmd_releases/6.27.0,pmd/pmd,pmd_releases/6.27.0,856950f0d24cbd99fbaffa9f3b768e7ce154a1fa,True,True,
net.sourceforge.pmd:pmd,6.50.0,pmd/${artifactId},pmd_releases/6.50.0,pmd/pmd,pmd_releases/6.50.0,37f6d8254cc9dc7fa3d4437c72ea80f7448a675d,True,True,
net.sourceforge.pmd:pmd,6.35.0,pmd/${artifactId},pmd_releases/6.35.0,pmd/pmd,pmd_releases/6.35.0,b49fb2014dbb3fcfdbb4ae182b42f835903a628f,True,True,
net.sourceforge.pmd:pmd,6.45.0,pmd/${artifactId},pmd_releases/6.45.0,pmd/pmd,pmd_releases/6.45.0,1d2b40b3c0ad670c886a2e5c8ce62df467be3184,True,True,
net.sourceforge.pmd:pmd,6.29.0,pmd/${artifactId},pmd_releases/6.29.0,pmd/pmd,pmd_releases/6.29.0,81f12d3e5db7c38ef1862d7db19cd9d30f46b288,True,True,
net.sourceforge.pmd:pmd,6.40.0,pmd/${artifactId},pmd_releases/6.40.0,pmd/pmd,pmd_releases/6.40.0,be09a31654113235cded4c7c2d93643100066861,True,True,
net.sourceforge.pmd:pmd,6.30.0,pmd/${artifactId},pmd_releases/6.30.0,pmd/pmd,pmd_releases/6.30.0,d2e4fb4ca370e7d5612dcc96fb74c29767a7671e,True,True,
net.sourceforge.pmd:pmd,7.0.0-rc3,pmd/${artifactId},pmd_releases/7.0.0-rc3,pmd/pmd,pmd_releases/7.0.0-rc3,7d6d303488c1da2f796125569f4db78c6a85a873,True,True,
net.sourceforge.pmd:pmd,6.39.0,pmd/${artifactId},pmd_releases/6.39.0,pmd/pmd,pmd_releases/6.39.0,90b051bfff7ca4e1a8063e23281214cf919791ec,True,True,
net.sourceforge.pmd:pmd,6.49.0,pmd/${artifactId},pmd_releases/6.49.0,pmd/pmd,pmd_releases/6.49.0,4b4ebabc2d5ed534c2657882b23d4ba2dd9da8d3,True,True,
net.sourceforge.pmd:pmd,6.55.0,pmd/${artifactId},pmd_releases/6.55.0,pmd/pmd,pmd_releases/6.55.0,ef3455348603aa25f86894b9930f05f141f44d20,True,True,
net.sourceforge.pmd:pmd,6.25.0,pmd/${artifactId},pmd_releases/6.25.0,pmd/pmd,pmd_releases/6.25.0,a219b2e1befbe22ac6f4ca924fb9158a095bc93c,True,True,
net.sourceforge.pmd:pmd,6.26.0,pmd/${artifactId},pmd_releases/6.26.0,pmd/pmd,pmd_releases/6.26.0,a9632e2a069e7a79d2415784dd1246b52eee2a15,True,True,
net.sourceforge.pmd:pmd,7.0.0-rc4,pmd/${artifactId},pmd_releases/7.0.0-rc4,pmd/pmd,pmd_releases/7.0.0-rc4,720b9a328b860acb3118cf560be6bdc102785772,True,True,
net.sourceforge.pmd:pmd,6.43.0,pmd/${artifactId},pmd_releases/6.43.0,pmd/pmd,pmd_releases/6.43.0,dd0ee6190b4e3a3f64a714ace0debd0a08e5070b,True,True,
net.sourceforge.pmd:pmd,6.33.0,pmd/${artifactId},pmd_releases/6.33.0,pmd/pmd,pmd_releases/6.33.0,dc1c9d0aedaf462ba69f83694597146d2df767f9,True,True,
net.sourceforge.pmd:pmd,6.36.0,pmd/${artifactId},pmd_releases/6.36.0,pmd/pmd,pmd_releases/6.36.0,45d1605a0388451466b2400362e09b4899021117,True,True,
net.sourceforge.pmd:pmd,6.46.0,pmd/${artifactId},pmd_releases/6.46.0,pmd/pmd,pmd_releases/6.46.0,a75acdeff8200223ddd2c1b24356a038f1fe7e6e,True,True,
net.sourceforge.pmd:pmd,7.0.0-rc2,pmd/${artifactId},pmd_releases/7.0.0-rc2,pmd/pmd,pmd_releases/7.0.0-rc2,a97e10826999a726dd575624d0a199d184fa7303,True,True,
net.sourceforge.pmd:pmd,6.53.0,pmd/${artifactId},pmd_releases/6.53.0,pmd/pmd,pmd_releases/6.53.0,37103451bf0df705fb0a2aa899e1a6996c9dcf37,True,True,
net.sf.michael-o.tomcat:tomcat-authnz-spnego-ad,4.0.1,michael-o/tomcatspnegoad,4.0.1,michael-o/tomcatspnegoad,4.0.1,da9d43082a24e1d80c98c59286bdbf367eded8d1,True,True,
net.sf.michael-o.tomcat:tomcat-authnz-spnego-ad,4.0.0,michael-o/tomcatspnegoad,4.0.0,michael-o/tomcatspnegoad,4.0.0,0aeee092045135f134b06f25d2ae10094bba21dd,True,True,
net.sf.michael-o.tomcat:tomcat-authnz-spnego-ad,3.9.0,michael-o/tomcatspnegoad,3.9.0,michael-o/tomcatspnegoad,3.9.0,fe0bca2646ca3b2c02b962784cfc4a300692beef,True,True,
net.sf.michael-o:michael-o-parent,17,michael-o/${artifactId},17,michael-o/michael-o-parent,17,fa645db8773c9e96c13c3669afe6de6c455fac51,True,False,
net.sf.michael-o:michael-o-parent,16,michael-o/${artifactId},16,michael-o/michael-o-parent,16,2c7f1aed3b52cbf037fdad1f8720df8eaec5a36b,True,False,
net.nicoulaj.maven.plugins:checksum-maven-plugin,1.11,nicoulaj/${artifactId},1.11,nicoulaj/checksum-maven-plugin,1.11,147b14f52aa21b6705f2917660b935c4e659c601,True,True,
net.jsign:jsign,6.0,ebourg/${artifactId},6.0,ebourg/jsign,6.0,6dfa442863dc6285e45e95d19c853adbb1cb53d8,True,True,
net.jsign:jsign,5.0,ebourg/${artifactId},5.0,ebourg/jsign,5.0,39e4003999553356b1dfcefa6b15878729301f65,True,True,
net.jsign:jsign,4.2,ebourg/${artifactId},4.2,ebourg/jsign,4.2,e44d2474f7773cbade092362cd4a6a63810f0c95,True,True,
biz.aQute.bnd:bnd-plugin-parent,6.1.0,bndtools/bnd,6.1.0,bndtools/bnd,6.1.0,6b7087b2d21e0fa85f23dc01a3159f5783624bc3,True,True,
biz.aQute.bnd:bnd-plugin-parent,6.4.0,bndtools/bnd,6.4.0,bndtools/bnd,6.4.0,25e4898599326264c57da8b695ae5df9e268891e,True,True,
biz.aQute.bnd:bnd-plugin-parent,5.2.0,bndtools/bnd,5.2.0.REL,bndtools/bnd,5.2.0.REL,c9791146e2d53925142f1c8d0b9a95547a05e752,False,True,
biz.aQute.bnd:bnd-plugin-parent,7.0.0,bndtools/bnd,7.0.0,bndtools/bnd,7.0.0,b82dc867a7920edfcf32cb2cfa408795f4af6aea,True,True,
biz.aQute.bnd:bnd-plugin-parent,6.2.0,bndtools/bnd,6.2.0,bndtools/bnd,6.2.0,45a83394bb5585648185817f62eb458d86d2b222,True,True,
biz.aQute.bnd:bnd-plugin-parent,6.3.1,bndtools/bnd,6.3.1,bndtools/bnd,6.3.1,30a66dcb6beb4c30339568eecaeec08a6d6a333e,True,True,
biz.aQute.bnd:bnd-plugin-parent,6.0.0,bndtools/bnd,6.0.0,bndtools/bnd,6.0.0,c077e576caee1516ca4a895720c2d8f8e69b03e6,True,True,
biz.aQute.bnd:bnd-plugin-parent,6.3.0,bndtools/bnd,6.3.0,bndtools/bnd,6.3.0,90e7ecf40a2fbdb7998ef6a3e46d81a91ee054a2,True,True,
biz.aQute.bnd:bnd-plugin-parent,5.3.0,bndtools/bnd,5.3.0.REL,bndtools/bnd,5.3.0.REL,fe6b49cf8e56bf870bd29de6773b42b7e1f29514,False,True,
commons-logging:commons-logging,1.3.0,apache/${artifactId},rel/commons-logging-1.3.0,,,,,,no_github_link
org.openapitools.openapidiff:openapi-diff-parent,2.1.0-beta.6,OpenAPITools/openapi-diff,2.1.0-beta.6,OpenAPITools/openapi-diff,2.1.0-beta.6,86479ed0ce3429b3c6f980c22a16429353653b76,True,True,
