ga,version,groundtruth_repo,groundtruth_tag,repo,tag,commit,exact_match,has_tests,has_tests_jar,err
net.sourceforge.pmd:pmd,6.40.0,pmd/pmd,pmd_releases/6.40.0,,,,,,,
net.sourceforge.pmd:pmd,6.30.0,pmd/pmd,pmd_releases/6.30.0,,,,,,,
net.sourceforge.pmd:pmd,7.0.0-rc3,pmd/pmd,pmd_releases/7.0.0-rc3,,,,,,,
net.sourceforge.pmd:pmd,6.39.0,pmd/pmd,pmd_releases/6.39.0,,,,,,,
net.sourceforge.pmd:pmd,6.49.0,pmd/pmd,pmd_releases/6.49.0,,,,,,,
net.sourceforge.pmd:pmd,6.55.0,pmd/pmd,pmd_releases/6.55.0,,,,,,,
net.sourceforge.pmd:pmd,6.25.0,pmd/pmd,pmd_releases/6.25.0,,,,,,,
net.sourceforge.pmd:pmd,6.26.0,pmd/pmd,pmd_releases/6.26.0,,,,,,,
net.sourceforge.pmd:pmd,7.0.0-rc4,pmd/pmd,pmd_releases/7.0.0-rc4,,,,,,,
net.sourceforge.pmd:pmd,6.43.0,pmd/pmd,pmd_releases/6.43.0,,,,,,,
net.sourceforge.pmd:pmd,6.33.0,pmd/pmd,pmd_releases/6.33.0,,,,,,,
net.sourceforge.pmd:pmd,6.36.0,pmd/pmd,pmd_releases/6.36.0,,,,,,,
net.sourceforge.pmd:pmd,6.46.0,pmd/pmd,pmd_releases/6.46.0,,,,,,,
net.sourceforge.pmd:pmd,7.0.0-rc2,pmd/pmd,pmd_releases/7.0.0-rc2,,,,,,,
net.sourceforge.pmd:pmd,6.53.0,pmd/pmd,pmd_releases/6.53.0,,,,,,,
net.sf.michael-o.tomcat:tomcat-authnz-spnego-ad,4.0.1,michael-o/tomcatspnegoad,4.0.1,,,,,,,
net.sf.michael-o.tomcat:tomcat-authnz-spnego-ad,4.0.0,michael-o/tomcatspnegoad,4.0.0,,,,,,,
net.sf.michael-o.tomcat:tomcat-authnz-spnego-ad,3.9.0,michael-o/tomcatspnegoad,3.9.0,,,,,,,
net.sf.michael-o:michael-o-parent,17,michael-o/michael-o-parent,17,,,,,,,
net.sf.michael-o:michael-o-parent,16,michael-o/michael-o-parent,16,,,,,,,
net.nicoulaj.maven.plugins:checksum-maven-plugin,1.11,nicoulaj/checksum-maven-plugin,1.11,,,,,,,
net.jsign:jsign,6.0,ebourg/jsign,6.0,,,,,,,
net.jsign:jsign,5.0,ebourg/jsign,5.0,,,,,,,
net.jsign:jsign,4.2,ebourg/jsign,4.2,,,,,,,
biz.aQute.bnd:bnd-plugin-parent,6.1.0,bndtools/bnd,6.1.0,,,,,,,
biz.aQute.bnd:bnd-plugin-parent,6.4.0,bndtools/bnd,6.4.0,,,,,,,
biz.aQute.bnd:bnd-plugin-parent,5.2.0,bndtools/bnd,5.2.0.REL,,,,,,,
biz.aQute.bnd:bnd-plugin-parent,7.0.0,bndtools/bnd,7.0.0,,,,,,,
biz.aQute.bnd:bnd-plugin-parent,6.2.0,bndtools/bnd,6.2.0,,,,,,,
biz.aQute.bnd:bnd-plugin-parent,6.3.1,bndtools/bnd,6.3.1,,,,,,,
biz.aQute.bnd:bnd-plugin-parent,6.0.0,bndtools/bnd,6.0.0,,,,,,,
biz.aQute.bnd:bnd-plugin-parent,6.3.0,bndtools/bnd,6.3.0,,,,,,,
biz.aQute.bnd:bnd-plugin-parent,5.3.0,bndtools/bnd,5.3.0.REL,,,,,,,
commons-logging:commons-logging,1.3.0,apache/commons-logging,rel/commons-logging-1.3.0,,,,,,,
org.openapitools.openapidiff:openapi-diff-parent,2.1.0-beta.6,OpenAPITools/openapi-diff,2.1.0-beta.6,,,,,,,
org.openapitools.openapidiff:openapi-diff-parent,2.1.0-beta.7,OpenAPITools/openapi-diff,2.1.0-beta.7,,,,,,,
org.openapitools.openapidiff:openapi-diff-parent,2.1.0-beta.1,OpenAPITools/openapi-diff,2.1.0-beta.1,,,,,,,
org.openapitools.openapidiff:openapi-diff-parent,2.1.0-beta.4,OpenAPITools/openapi-diff,2.1.0-beta.4,,,,,,,
org.openapitools.openapidiff:openapi-diff-parent,2.0.1,OpenAPITools/openapi-diff,2.0.1,,,,,,,
org.openapitools.openapidiff:openapi-diff-parent,2.1.0-beta.2,OpenAPITools/openapi-diff,2.1.0-beta.2,,,,,,,
org.openapitools.openapidiff:openapi-diff-parent,2.1.0-beta.8,OpenAPITools/openapi-diff,2.1.0-beta.8,,,,,,,
org.openapitools.openapidiff:openapi-diff-parent,2.1.0-beta.5,OpenAPITools/openapi-diff,2.1.0-beta.5,,,,,,,
org.openapitools.openapidiff:openapi-diff-parent,2.1.0-beta.3,OpenAPITools/openapi-diff,2.1.0-beta.3,,,,,,,
org.simplify4u:slf4j-mock,2.3.0,s4u/slf4j-mock,v2.3.0,,,,,,,
org.simplify4u:slf4j-mock,2.2.0,s4u/slf4j-mock,v2.2.0,,,,,,,
org.simplify4u:slf4j-mock,2.1.1,s4u/slf4j-mock,v2.1.1,,,,,,,
org.simplify4u:slf4j-mock,2.1.0,s4u/slf4j-mock,v2.1.0,,,,,,,
org.simplify4u.plugins:pgpverify-maven-plugin,1.15.0,s4u/pgpverify-maven-plugin,v1.15.0,,,,,,,
org.simplify4u.plugins:pgpverify-maven-plugin,1.16.0,s4u/pgpverify-maven-plugin,v1.16.0,,,,,,,
org.simplify4u.plugins:pgpverify-maven-plugin,1.13.0,s4u/pgpverify-maven-plugin,v1.13.0,,,,,,,
org.simplify4u.plugins:pgpverify-maven-plugin,1.14.0,s4u/pgpverify-maven-plugin,v1.14.0,,,,,,,
org.simplify4u.plugins:pgpverify-maven-plugin,1.11.0,s4u/pgpverify-maven-plugin,v1.11.0,,,,,,,
org.simplify4u.plugins:pgpverify-maven-plugin,1.14.1,s4u/pgpverify-maven-plugin,v1.14.1,,,,,,,
org.simplify4u.plugins:pgpverify-maven-plugin,1.12.0,s4u/pgpverify-maven-plugin,v1.12.0,,,,,,,
org.simplify4u.plugins:pgpverify-maven-plugin,1.17.0,s4u/pgpverify-maven-plugin,v1.17.0,,,,,,,
org.simplify4u.plugins:sign-maven-plugin,0.2.0,s4u/sign-maven-plugin,v0.2.0,,,,,,,
org.simplify4u.plugins:sign-maven-plugin,1.0.0,s4u/sign-maven-plugin,v1.0.0,,,,,,,
org.simplify4u.plugins:sign-maven-plugin,0.2.1,s4u/sign-maven-plugin,v0.2.1,,,,,,,
org.simplify4u.plugins:sign-maven-plugin,0.1.0,s4u/sign-maven-plugin,v0.1.0,,,,,,,
org.simplify4u.plugins:sign-maven-plugin,1.0.1,s4u/sign-maven-plugin,v1.0.1,,,,,,,
org.simplify4u.plugins:sign-maven-plugin,0.3.0,s4u/sign-maven-plugin,v0.3.0,,,,,,,
org.simplify4u.plugins:sign-maven-plugin,0.3.1,s4u/sign-maven-plugin,v0.3.1,,,,,,,
org.simplify4u:pgp-keys-map,2023.06.24,s4u/pgp-keys-map,v2023.06.24,,,,,,,
org.simplify4u:pgp-keys-map,2021.07.12,s4u/pgp-keys-map,v2021.07.12,,,,,,,
org.simplify4u:pgp-keys-map,2022.11.15,s4u/pgp-keys-map,v2022.11.15,,,,,,,
