ga,version,groundtruth_repo,groundtruth_tag,repo,tag,commit,exact_match,has_tests,has_tests_jar,err,manual_eval
com.io7m.jwheatsheaf:com.io7m.jwheatsheaf,2.0.0,io7m/jwheatsheaf,9742489eea8f060e25d323a3957a91ee8af7a52c,io7m-com/jwheatsheaf,com.io7m.wheatsheaf-2.0.0,d8ef51b9d4d78929b72467d9c71212516ef8a912,False,True,False,,CAT1_FAIL
com.io7m.jwheatsheaf:com.io7m.jwheatsheaf,2.0.1,io7m/jwheatsheaf,5bf163015d6680605ff635cc4c740e87f928a15c,io7m-com/jwheatsheaf,com.io7m.wheatsheaf-2.0.1,27062f2049771c64ca8be2a68b0d9058935f29f1,False,True,False,,CAT1_FAIL
com.io7m.jwheatsheaf:com.io7m.jwheatsheaf,3.0.0,io7m/jwheatsheaf,738e5ea398af188c303c172bb4323060e5ee195d,io7m-com/jwheatsheaf,com.io7m.wheatsheaf-3.0.0,9f64a0dd43a5e20556031748dda3908b2fc2b1ae,False,True,False,,CAT1_FAIL
com.io7m.anethum:com.io7m.anethum,0.0.1,io7m/anethum,0a4008194a6fc0e177921027abcce9d5881c4c2d,io7m-com/anethum,com.io7m.anethum-0.0.1,21cf566b0a11a5e0c976baa3079c04e1c6172e9d,True,False,False,,CAT1_FAIL
com.io7m.primogenitor:com.io7m.primogenitor,6.0.0-beta0004,io7m/primogenitor,d146a9b4205e7ef06e887c50296cacf49f870ff5,io7m-com/primogenitor,com.io7m.primogenitor-6.0.0-beta0004,0a37572c65a473e002930c71d31f67489508c338,True,True,False,,CAT1_FAIL
com.io7m.primogenitor:com.io7m.primogenitor,5.0.0,io7m/primogenitor,12a8b835bc9dfcf3985d28ec01a78590dd4ba91f,io7m-com/primogenitor,com.io7m.primogenitor-5.0.0,549f79bb2faa2a746a676fbee807948372f4954b,True,True,False,,CAT1_FAIL
com.io7m.primogenitor:com.io7m.primogenitor,7.0.0-beta0003,io7m/primogenitor,cdee1870bd95af07f6ffa5bfbcf24397d75984b3,io7m-com/primogenitor,com.io7m.primogenitor-7.0.0-beta0003,94f6177f9c1ffe0e0989b575bf875e80de5a15f4,True,True,False,,CAT1_FAIL
com.io7m.primogenitor:com.io7m.primogenitor,6.0.0-beta0002,io7m/primogenitor,fa3ab8775a3a510ed134de275cbc83defc1dc0d7,io7m-com/primogenitor,com.io7m.primogenitor-6.0.0-beta0002,41827a335e8825573ee517f748f17fd7989c4443,True,True,False,,CAT1_FAIL
com.io7m.primogenitor:com.io7m.primogenitor,3.7.0,io7m/primogenitor,1450ea046dc05aa12eae775f676454b17beb28b6,io7m-com/primogenitor,com.io7m.primogenitor-3.7.0,ec8aa6f75bb18a2dc119351b215e5901e376fcac,True,False,False,,CAT1_FAIL
com.io7m.primogenitor:com.io7m.primogenitor,7.0.0-beta0005,io7m/primogenitor,b663d642d770f8e81255ddd6687f8b6f723b1650,io7m-com/primogenitor,com.io7m.primogenitor-7.0.0-beta0005,29eaf3191be15439106f1548ad556af1b14351fa,True,True,False,,CAT1_FAIL
