ga,version,groundtruth_repo,groundtruth_tag,repo,tag,commit,exact_match,has_tests,has_tests_jar,err,manual_eval
com.io7m.jsamplebuffer:com.io7m.jsamplebuffer,0.0.4,io7m/jsamplebuffer,com.io7m.jsamplebuffer-0.0.4,io7m-com/jsamplebuffer,com.io7m.jsamplebuffer-0.0.4,2da582efb78aa15acd5f7ee4636cc8792daf1ccb,True,True,False,,
com.io7m.jsamplebuffer:com.io7m.jsamplebuffer,0.0.1,io7m/jsamplebuffer,com.io7m.jsamplebuffer-0.0.1,io7m-com/jsamplebuffer,com.io7m.jsamplebuffer-0.0.1,bcba9209a5e2a8d56972954bfd2d0691c61f3c33,True,True,False,,
com.io7m.medrina:com.io7m.medrina,1.0.0-beta0003,io7m/medrina,com.io7m.medrina-1.0.0-beta0003,io7m-com/medrina,com.io7m.medrina-1.0.0-beta0003,1cabd8453dfaba6721191c33176438002f5f397d,True,True,False,,
com.io7m.medrina:com.io7m.medrina,0.0.1,io7m/medrina,com.io7m.medrina-0.0.1,io7m-com/medrina,com.io7m.medrina-0.0.1,d1653d50783428b3f51f946f2f3f99d56505cbf4,True,True,False,,
com.io7m.medrina:com.io7m.medrina,1.0.0-beta0002,io7m/medrina,com.io7m.medrina-1.0.0-beta0002,io7m-com/medrina,com.io7m.medrina-1.0.0-beta0002,6187adbdad870f018b64511e64199b9bc5d0a121,True,True,False,,
com.io7m.medrina:com.io7m.medrina,0.0.2,io7m/medrina,com.io7m.medrina-0.0.2,io7m-com/medrina,com.io7m.medrina-0.0.2,b4366888d06c0fe7d29b2194a61db4082557087c,True,True,False,,
com.io7m.medrina:com.io7m.medrina,1.0.0-beta0001,io7m/medrina,com.io7m.medrina-1.0.0-beta0001,io7m-com/medrina,com.io7m.medrina-1.0.0-beta0001,7aed598fc48ef8d1aafe228e39ccaf2cd24159c6,True,True,False,,
com.io7m.medrina:com.io7m.medrina,0.0.3,io7m/medrina,com.io7m.medrina-0.0.3,io7m-com/medrina,com.io7m.medrina-0.0.3,77807371fd6f9b0aa3badcc34ea3a7199b3a2656,True,True,False,,
com.io7m.canonmill:com.io7m.canonmill,1.0.0-beta0001,io7m/canonmill,com.io7m.canonmill-1.0.0-beta0001,io7m-com/canonmill,com.io7m.canonmill-1.0.0-beta0001,7fc8608d27187f1387124b41c529c2c465aefd33,True,True,False,,
com.io7m.canonmill:com.io7m.canonmill,2.0.0,io7m/canonmill,com.io7m.canonmill-2.0.0,io7m-com/canonmill,com.io7m.canonmill-2.0.0,5e691ca4ca11e9b14eac7161ebf2b4d2b3058495,True,True,False,,
com.io7m.canonmill:com.io7m.canonmill,1.0.0,io7m/canonmill,com.io7m.canonmill-1.0.0,io7m-com/canonmill,com.io7m.canonmill-1.0.0,aec1f855bcf1baa3a0d495b6a0472855fda5c495,True,True,False,,
com.io7m.canonmill:com.io7m.canonmill,0.0.5,io7m/canonmill,com.io7m.canonmill-0.0.5,io7m-com/canonmill,com.io7m.canonmill-0.0.5,0693e91d78e776e8717678315c94c89689cf0e17,True,True,False,,
com.io7m.canonmill:com.io7m.canonmill,2.0.1,io7m/canonmill,com.io7m.canonmill-2.0.1,io7m-com/canonmill,com.io7m.canonmill-2.0.1,37ac3b1728435710bd6951b57ff035c39c060aa2,True,True,False,,
com.io7m.chione:com.io7m.chione,0.0.2,io7m/chione,com.io7m.chione-0.0.2,io7m-com/chione,com.io7m.chione-0.0.2,cc9ff42894375f8374aa1719e639070cfa082450,True,False,True,,
com.io7m.jproperties:com.io7m.jproperties,3.2.0,io7m/jproperties,com.io7m.jproperties-3.2.0,io7m-com/jproperties,com.io7m.jproperties-3.2.0,856079907059fb0330b7d681902988b0f6711c47,True,True,False,,
com.io7m.jproperties:com.io7m.jproperties,3.0.0,io7m/jproperties,com.io7m.jproperties-3.0.0,io7m-com/jproperties,com.io7m.jproperties-3.0.0,dff7ee46fdbd992353e6687465d4a16daed8b238,True,True,False,,
com.io7m.xstructural:com.io7m.xstructural,1.5.0,io7m/xstructural,com.io7m.xstructural-1.5.0,io7m-com/xstructural,com.io7m.xstructural-1.5.0,7f5f5eefea4137f1c906909b18f2f53f60bf8d4f,True,True,False,,
com.io7m.xstructural:com.io7m.xstructural,1.7.2,io7m/xstructural,com.io7m.xstructural-1.7.2,io7m-com/xstructural,com.io7m.xstructural-1.7.2,0e8e4c46ae280788c7d2a95b29a42f6dfb56f6de,True,True,False,,
com.io7m.xstructural:com.io7m.xstructural,1.6.0,io7m/xstructural,com.io7m.xstructural-1.6.0,io7m-com/xstructural,com.io7m.xstructural-1.6.0,b59dea7c2c67f2bfe6eef5dbca7e1f3ff98f13c9,True,True,False,,
com.io7m.xstructural:com.io7m.xstructural,1.7.1,io7m/xstructural,com.io7m.xstructural-1.7.1,io7m-com/xstructural,com.io7m.xstructural-1.7.1,f44bdd422ba238fe7345287dc09b6785d2f986f7,True,True,False,,
com.io7m.xstructural:com.io7m.xstructural,1.8.0,io7m/xstructural,com.io7m.xstructural-1.8.0,io7m-com/xstructural,com.io7m.xstructural-1.8.0,dcc5012c62b5f0f56526ee33c28dfcaa84f95dc2,True,True,False,,
com.io7m.xstructural:com.io7m.xstructural,1.7.0,io7m/xstructural,com.io7m.xstructural-1.7.0,io7m-com/xstructural,com.io7m.xstructural-1.7.0,e9a4b3b71adf2ca1a549130e83f92e0624fee6ac,True,True,False,,
com.io7m.jwheatsheaf:com.io7m.jwheatsheaf,4.0.0-beta0001,io7m/jwheatsheaf,com.io7m.wheatsheaf-4.0.0-beta0001,io7m-com/jwheatsheaf,com.io7m.wheatsheaf-4.0.0-beta0001,1499a3679a5cf829fd645294a14980db12e49d1e,False,True,False,,
com.io7m.mime2045:com.io7m.mime2045,1.0.0,io7m/mime2045,com.io7m.mime2045-1.0.0,io7m-com/mime2045,com.io7m.mime2045-1.0.0,af5af5356c8c576e36d5de62d72d533fb465a394,True,True,False,,
com.io7m.mime2045:com.io7m.mime2045,0.0.1,io7m/mime2045,com.io7m.mime2045-0.0.1,io7m-com/mime2045,com.io7m.mime2045-0.0.1,4756f7a19dbe180970663863780eefbb8d00567f,True,True,False,,
com.io7m.anethum:com.io7m.anethum,1.0.0,io7m/anethum,com.io7m.anethum-1.0.0,io7m-com/anethum,com.io7m.anethum-1.0.0,061877f61135f4a80fa5d0948be7bf6185100dc5,True,True,False,,
com.io7m.anethum:com.io7m.anethum,1.0.0-beta0001,io7m/anethum,com.io7m.anethum-1.0.0-beta0001,io7m-com/anethum,com.io7m.anethum-1.0.0-beta0001,f35399557f66fff9fdd35959ce9d89bdbf73cfdb,True,True,False,,
com.io7m.anethum:com.io7m.anethum,0.0.2,io7m/anethum,com.io7m.anethum-0.0.2,io7m-com/anethum,com.io7m.anethum-0.0.2,e814cefa85d8a6c81bcb744230be82dbf9a8b23d,True,False,False,,
com.io7m.anethum:com.io7m.anethum,1.1.0,io7m/anethum,com.io7m.anethum-1.1.0,io7m-com/anethum,com.io7m.anethum-1.1.0,2195203a450f19b8191eb99a532f58dc9fe9be20,True,True,False,,
com.io7m.junreachable:com.io7m.junreachable,4.0.0,io7m/junreachable,com.io7m.junreachable-4.0.0,io7m-com/junreachable,com.io7m.junreachable-4.0.0,7d4c1da6b669618cded9dd02adfeda8f71e41375,True,True,False,,
com.io7m.dixmont:com.io7m.dixmont,0.0.1,io7m/dixmont,com.io7m.dixmont-0.0.1,io7m-com/dixmont,com.io7m.dixmont-0.0.1,3be342cb7a40f3170dae76fb0ad04c1086e4bdf1,True,True,False,,
com.io7m.dixmont:com.io7m.dixmont,0.0.2,io7m/dixmont,com.io7m.dixmont-0.0.2,io7m-com/dixmont,com.io7m.dixmont-0.0.2,724c5c71e92b2f5267af9d93ed65d96c5aff2dbd,True,True,False,,
com.io7m.dixmont:com.io7m.dixmont,1.0.0,io7m/dixmont,com.io7m.dixmont-1.0.0,io7m-com/dixmont,com.io7m.dixmont-1.0.0,5eff510db5dca836c7a42818da832e6462c0b85f,True,True,False,,
com.io7m.jpuddle:com.io7m.jpuddle,0.5.0,io7m/jpuddle,com.io7m.jpuddle-0.5.0,io7m-com/jpuddle,com.io7m.jpuddle-0.5.0,4d7789c6b57655e4045893c30f3826dc00e1b537,True,True,False,,
com.io7m.ieee754b16:com.io7m.ieee754b16,3.0.0,io7m/ieee754b16,com.io7m.ieee754b16-3.0.0,io7m-com/ieee754b16,com.io7m.ieee754b16-3.0.0,a409ce6dc02ee59ca8bd90599b7ce37f48e7fd14,True,True,False,,
com.io7m.primogenitor:com.io7m.primogenitor,7.2.0,io7m/primogenitor,com.io7m.primogenitor-7.2.0,io7m-com/primogenitor,com.io7m.primogenitor-7.2.0,f4953d3b320f11cf4cae079657c5f0b92e9df489,True,True,False,,
com.io7m.primogenitor:com.io7m.primogenitor,7.7.0,io7m/primogenitor,com.io7m.primogenitor-7.7.0,io7m-com/primogenitor,com.io7m.primogenitor-7.7.0,26ec73edf9fe837ea29463453da21e8bd5e5f3d4,True,True,False,,
com.io7m.primogenitor:com.io7m.primogenitor,7.1.1,io7m/primogenitor,com.io7m.primogenitor-7.1.1,io7m-com/primogenitor,com.io7m.primogenitor-7.1.1,efdf9fe3687bbd96fb190fbbfc3aef7a8cd0ef27,True,True,False,,
com.io7m.primogenitor:com.io7m.primogenitor,6.4.2,io7m/primogenitor,com.io7m.primogenitor-6.4.2,io7m-com/primogenitor,com.io7m.primogenitor-6.4.2,6a4b65fde87922d5f53d3db0c2a4a44858a8dc36,True,True,False,,
com.io7m.primogenitor:com.io7m.primogenitor,8.0.0,io7m/primogenitor,com.io7m.primogenitor-8.0.0,io7m-com/primogenitor,com.io7m.primogenitor-8.0.0,fb2d138638e8660a5fa415698e0ac3da73a5cc10,True,True,False,,
com.io7m.primogenitor:com.io7m.primogenitor,7.4.0,io7m/primogenitor,com.io7m.primogenitor-7.4.0,io7m-com/primogenitor,com.io7m.primogenitor-7.4.0,e3a3e3b5616cdae1fbf9bd8458dcdf7d1df8190c,True,True,False,,
com.io7m.primogenitor:com.io7m.primogenitor,7.1.0,io7m/primogenitor,com.io7m.primogenitor-7.1.0,io7m-com/primogenitor,com.io7m.primogenitor-7.1.0,eefb11b677aac0b67edb838e115941345db21a51,True,True,False,,
com.io7m.primogenitor:com.io7m.primogenitor,7.6.0,io7m/primogenitor,com.io7m.primogenitor-7.6.0,io7m-com/primogenitor,com.io7m.primogenitor-7.6.0,b446f4877fb3d5c15013bfb10c4c0d99d43f1a01,True,True,False,,
com.io7m.primogenitor:com.io7m.primogenitor,7.3.0,io7m/primogenitor,com.io7m.primogenitor-7.3.0,io7m-com/primogenitor,com.io7m.primogenitor-7.3.0,7da4fd6317269114b6ce2bfbdc46dd95d14a6207,True,True,False,,
com.io7m.primogenitor:com.io7m.primogenitor,8.0.0-beta0001,io7m/primogenitor,com.io7m.primogenitor-8.0.0-beta0001,io7m-com/primogenitor,com.io7m.primogenitor-8.0.0-beta0001,85fa94f1f6582bb5534fb069c5e0e5d26f3dca4c,True,True,False,,
com.io7m.primogenitor:com.io7m.primogenitor,7.5.0,io7m/primogenitor,com.io7m.primogenitor-7.5.0,io7m-com/primogenitor,com.io7m.primogenitor-7.5.0,3a077dca4a2254c67168a1a8f2a5d57b927152cb,True,True,False,,
com.io7m.primogenitor:com.io7m.primogenitor,6.4.1,io7m/primogenitor,com.io7m.primogenitor-6.4.1,io7m-com/primogenitor,com.io7m.primogenitor-6.4.1,a927b2d6c3b26ecbcf63367616d51819f74d52b4,True,True,False,,
com.io7m.primogenitor:com.io7m.primogenitor,8.1.0,io7m/primogenitor,com.io7m.primogenitor-8.1.0,io7m-com/primogenitor,com.io7m.primogenitor-8.1.0,be824fcc8e599a2e3e1329f257bf414506dff21a,True,True,False,,
com.io7m.jpita:com.io7m.jpita,2.0.0,io7m/jpita,com.io7m.jpita-2.0.0,io7m-com/jpita,com.io7m.jpita-2.0.0,04219b460615677656107584483df7f88cc47556,True,True,False,,
com.io7m.jxtrand:com.io7m.jxtrand,1.1.0,io7m/jxtrand,com.io7m.jxtrand-1.1.0,io7m-com/jxtrand,com.io7m.jxtrand-1.1.0,430b4a45b221dae321cc3d1179b1f3644238f7d8,True,True,False,,
com.io7m.jxtrand:com.io7m.jxtrand,2.0.0,io7m/jxtrand,com.io7m.jxtrand-2.0.0,io7m-com/jxtrand,com.io7m.jxtrand-2.0.0,e23f87d691f6ea531bb07599c1f92399b80b9ec4,True,True,False,,
com.io7m.taskrecorder:com.io7m.taskrecorder,0.0.1,io7m/taskrecorder,com.io7m.taskrecorder-0.0.1,io7m-com/taskrecorder,com.io7m.taskrecorder-0.0.1,7d89d362c5174a9844bc78336eb6a68fc493e5c9,True,True,False,,
com.io7m.taskrecorder:com.io7m.taskrecorder,0.0.2,io7m/taskrecorder,com.io7m.taskrecorder-0.0.2,io7m-com/taskrecorder,com.io7m.taskrecorder-0.0.2,f74b4ded14cb8454e7d4ad93413e0d98450fee30,True,True,False,,
com.io7m.percentpass:com.io7m.percentpass,0.0.3,io7m/percentpass,com.io7m.percentpass-0.0.3,io7m-com/percentpass,com.io7m.percentpass-0.0.3,f7e684f22921f28c86c7ec263696146816bedfb3,True,True,False,,
com.io7m.percentpass:com.io7m.percentpass,0.0.2,io7m/percentpass,com.io7m.percentpass-0.0.2,io7m-com/percentpass,com.io7m.percentpass-0.0.2,2c346f626cb87233be38e7eef2b9d4dd2a7032d8,True,True,False,,
