project,dep,dep_range,project_depth,status,Incompatibility,No suitable version,"Error (no jar, call graph)"
org.scalablytyped.converter|importer_2.12|1.0.0-beta37,ch.epfl.scala|bloop-frontend_2.12|1.4.11,"[1.4.11,1.4.12-16-373bc94e]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.gateway|9.16.0,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.16.0,"[9.16.0,9.22.84]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.gateway|9.15.0,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.15.0,"[9.15.0,9.22.84]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.74,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.74,"[1.0.74,1.1.43]",6,success,,,
org.daisy.pipeline.modules|dtbook-utils|3.0.0,org.daisy.pipeline.modules|metadata-utils|2.0.1,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.persistence.mongodb|1.1.36,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.36,"[1.1.36,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.3,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.3,"[1.1.3,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.20,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.20,"[1.1.20,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymanager.feature|9.16.0,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.16.0,"[9.16.0,9.22.84]",6,success,,,
org.dashbuilder|dashbuilder-distros|7.66.0.Final,org.dashbuilder|dashbuilder-webapp|7.66.0.Final,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.oauth.feature|1.0.74,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.oauth|1.0.74,"[1.0.74,1.0.82]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.45,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.45,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.70,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.70,"[1.0.70,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.gateway|9.14.8,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.14.8,"[9.14.8,9.22.84]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.persistence.mongodb|1.1.38,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.38,"[1.1.38,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.persistence.mongodb|1.1.39,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.39,"[1.1.39,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.gateway|9.14.9,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.14.9,"[9.14.9,9.22.84]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.persistence.mongodb|1.1.35,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.35,"[1.1.35,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.67,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.67,"[1.0.67,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.47,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.47,No suitable version,6,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymanager.feature|9.15.0,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.15.0,"[9.15.0,9.22.84]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymanager.feature|9.15.2,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.15.2,"[9.15.2,9.22.84]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.30,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.30,"[1.1.30,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.66,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.66,"[1.0.66,1.1.43]",6,success,,,
