project,dep,dep_range,project_depth,status,Incompatibility,No suitable version,"Error (no jar, call graph)"
org.caffinitas.ohc|ohc-jmh|0.7.2,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.13.3]",1,failed,Y,,
org.opencastproject|opencast-search|9.10,org.apache.logging.log4j|log4j-core|2.11.1,"[2.11.1,2.12.2]",1,success,,,
org.jboss.resteasy.spring|resteasy-integration-tests-spring-web-deployment|3.0.0.Alpha1,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.13.3]",1,failed,Y,,
com.airwallex.airskiff|core|1.0.2,org.apache.logging.log4j|log4j-core|2.12.1,"[2.12.1,2.12.2]",1,success,,,
org.alluxio|alluxio-core-client-fs|2.6.2-3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.13.3]",1,failed,Y,,
org.alluxio|alluxio-stress-shell|2.6.2-3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.13.3]",1,failed,Y,,
io.nosqlbench|driver-stdout|4.15.70,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
com.airwallex.airskiff|core|1.0.0-no-watermark-03,org.apache.logging.log4j|log4j-core|2.12.1,"[2.12.1,2.12.2]",1,success,,,
org.jboss.resteasy|arquillian-utils|4.7.5.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.14.1]",1,failed,Y,,
io.tapir-test|tapir-extensions-datasource-excel|2.0.0,org.apache.logging.log4j|log4j-core|2.7,"[2.7,2.10.0]",1,failed,Y,,
io.nosqlbench|engine-cli|4.15.70,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
org.alluxio|alluxio-core-common|2.6.2-4,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.wso2.carbon.identity.framework|org.wso2.carbon.identity.testutil|5.18.235,org.apache.logging.log4j|log4j-core|2.12.0,"[2.12.0,2.12.2]",1,success,,,
org.wso2.carbon.identity.framework|org.wso2.carbon.identity.testutil|5.20.284,org.apache.logging.log4j|log4j-core|2.12.0,"[2.12.0,2.12.2]",1,success,,,
com.luhuiguo.hyperledger.fabric-sdk-java|fabric-sdk-java|2.2.6.GM,org.apache.logging.log4j|log4j-core|2.14.0,"[2.14.0,2.15.0]",1,success,,,
com.github.shoothzj|java-sdk|3.1.4,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
org.alluxio|alluxio-table|2.6.2-3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.13.3]",1,failed,Y,,
org.wso2.carbon.identity.framework|org.wso2.carbon.identity.testutil|5.20.291,org.apache.logging.log4j|log4j-core|2.12.0,"[2.12.0,2.12.2]",1,success,,,
group.rxcloud|example|1.10.12.1.RELEASE,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
org.wso2.carbon.identity.framework|org.wso2.carbon.identity.testutil|5.20.285,org.apache.logging.log4j|log4j-core|2.12.0,"[2.12.0,2.12.2]",1,success,,,
